"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
31.2560105785819,-281.885209224519,2.01315667894146,-2.50228606705863,"Exploratory","Exploratory",3600,1,2099,2099,1,1,9
33.398182541113,-280.78994908121,2.40592923806502,-2.24867278213305,"Exploratory","Exploratory",3600,1,2100,2100,1,2,9
35.591760280173,-279.662828715419,2.46620834810854,0.00201353996345021,"Exploratory","Exploratory",3600,1,2101,2101,1,5,9
35.6140258439964,-279.659430444827,0.0225234006176668,-0.323192541434898,"Resting","Resting",3600,1,2102,2102,1,4,9
35.6140256880436,-279.659430393215,1.64271428270821e-07,2.67053456577237,"Resting","Resting",3600,1,2103,2103,1,8,9
34.2199900657242,-278.024802995882,2.1483347142393,-0.545067590927298,"Exploratory","Resting",3600,1,2104,2104,1,4,9
34.4626203241439,-278.081565456598,0.249181498605612,-2.50673588779091,"Resting","Resting",3600,1,2105,2105,1,1,9
35.0404038380262,-277.811277256113,0.637878907188186,0.667372144321421,"Resting","Resting",3600,1,2106,2106,1,5,9
34.9824517039072,-277.83564219075,0.0628657290483381,3.10202891857654,"Resting","Resting",3600,1,2107,2107,1,8,9
34.9511035904227,-277.902903377086,0.074207623640388,0.736667799308824,"Resting","Resting",3600,1,2108,2108,1,5,9
34.965314383873,-277.875660418353,0.0307266244648075,3.09692307350381,"Resting","Resting",3600,1,2109,2109,1,8,9
34.8904419483471,-277.916268986399,0.0851759203083536,2.54856566572084,"Resting","Resting",3600,1,2110,2110,1,8,9
34.9837520433909,-277.779326973843,0.165710255084504,-2.66588519129375,"Resting","Resting",3600,1,2111,2111,1,1,9
34.979184862789,-277.784664779169,0.00702504835252569,3.03196220782797,"Resting","Resting",3600,1,2112,2112,1,8,9
34.992875628522,-277.777334594129,0.0155296065332639,2.77012260920494,"Resting","Resting",3600,1,2113,2113,1,8,9
34.0874859790266,-278.793499563043,1.36100024300521,-2.79018282956794,"Resting","Resting",3600,1,2114,2114,1,1,9
34.092997683713,-278.787532155999,0.00812335124070593,3.1236851530826,"Resting","Resting",3600,1,2115,2115,1,8,9
34.0693224549932,-278.78386051125,0.023958243468614,2.16265877995325,"Resting","Resting",3600,1,2116,2116,1,7,9
34.0717766483465,-278.784644302943,0.00257631411789377,2.98632093294329,"Resting","Resting",3600,1,2117,2117,1,8,9
34.2162352727224,-278.598008046268,0.236011411719978,1.22123394038125,"Exploratory","Resting",3600,1,2118,2118,1,6,9
33.8561174531268,-279.032750553567,0.564522711361428,3.10849638113298,"Resting","Resting",3600,1,2119,2119,1,8,9
34.6631200530027,-278.180832708679,1.17346376622622,3.07505138705563,"Resting","Resting",3600,1,2120,2120,1,8,9
34.1968974006146,-278.626650711908,0.645071510457213,3.09215549229093,"Resting","Resting",3600,1,2121,2121,1,8,9
34.1974754391944,-278.625415499793,0.00136377328406793,-2.7715201674614,"Resting","Resting",3600,1,2122,2122,1,1,9
34.1930213632131,-278.93809028396,0.312706506882304,-2.71814229873035,"Resting","Resting",3600,1,2123,2123,1,1,9
34.136528005881,-278.679212315918,0.264970379024101,-2.91249298075923,"Resting","Resting",3600,1,2124,2124,1,1,9
34.1366556636134,-278.679746601311,0.000549324473988318,-3.1219135684051,"Resting","Resting",3600,1,2125,2125,1,1,9
34.1071815614189,-278.24450278635,0.436240645929826,2.97467337780487,"Resting","Resting",3600,1,2126,2126,1,8,9
34.2531912805875,-278.470954122824,0.269442101168894,-2.63651606414901,"Resting","Resting",3600,1,2127,2127,1,1,9
34.0543836078674,-278.530544483079,0.207546384617488,-1.85227120191564,"Resting","Resting",3600,1,2128,2128,1,2,9
34.0580625916995,-278.528331398509,0.00429332800441706,-2.89125293840337,"Resting","Resting",3600,1,2129,2129,1,1,9
32.3544106605801,-279.469070250936,1.94612936128925,3.10455857381662,"Resting","Resting",3600,1,2130,2130,1,8,9
32.6020458479597,-279.30736159138,0.295758138694248,-3.06762592021504,"Resting","Resting",3600,1,2131,2131,1,1,9
32.380438466604,-279.466735812421,0.272965151262715,-3.09660339675184,"Resting","Resting",3600,1,2132,2132,1,1,9
32.642110148579,-279.26705522087,0.329157117179079,-3.11324141834954,"Resting","Resting",3600,1,2133,2133,1,1,9
32.6352882067339,-279.270146098497,0.00748948696784462,2.91517406407414,"Resting","Resting",3600,1,2134,2134,1,8,9
32.6468706081215,-279.208691288574,0.0625367546699664,-2.18249273406335,"Resting","Resting",3600,1,2135,2135,1,2,9
32.6468670921395,-279.20870518199,1.43314044113641e-05,3.08001340992351,"Resting","Resting",3600,1,2136,2136,1,8,9
33.617968936677,-275.927430645809,3.42195870434659,3.10171745731985,"Resting","Resting",3600,1,2137,2137,2,8,9
33.6156130709507,-275.931937166993,0.00508515845365631,2.94763636610733,"Resting","Resting",3600,1,2138,2138,1,8,9
33.6183833060069,-275.926294260104,0.00628622306485555,-3.11625687629332,"Resting","Resting",3600,1,2139,2139,1,1,9
33.5956322334916,-275.976067140972,0.054726145218124,-3.11397337947392,"Resting","Resting",3600,1,2140,2140,1,1,9
33.5956382951397,-275.976047285274,2.07603540857369e-05,-3.00915033180717,"Resting","Resting",3600,1,2141,2141,1,1,9
33.4944541468862,-276.470248745077,0.504453481233951,-3.04724592267375,"Resting","Resting",3600,1,2142,2142,1,1,9
33.5461148254026,-276.358097953038,0.12347722810188,2.91188088986296,"Resting","Resting",3600,1,2143,2143,1,8,9
34.5063844050184,-267.46028835236,8.9494767084707,0.324157510558665,"Transit","Resting",3600,1,2144,2144,4,5,9
34.7947411786346,-268.581730692683,1.15792165173684,-2.7824085586328,"Resting","Resting",3600,1,2145,2145,1,1,9
34.779207568137,-268.510280752051,0.0731189925495897,3.10398873110027,"Resting","Resting",3600,1,2146,2146,1,8,9
34.7795852868012,-268.511595392884,0.00136782744091539,-3.07588610943425,"Resting","Resting",3600,1,2147,2147,1,1,9
34.6567214776149,-268.244854246518,0.293677296998641,-2.98973082644281,"Resting","Resting",3600,1,2148,2148,1,1,9
34.6576020129638,-268.249020329331,0.00425812030239086,2.91824261395905,"Resting","Resting",3600,1,2149,2149,1,8,9
34.6935582370662,-268.303452144982,0.0652355164523617,0.375479926947381,"Resting","Resting",3600,1,2150,2150,1,5,9
